DAY,CORRECTNESS,NUM_RESULT_OWNERS,NUM_QUESTIONS
2018-04-05,2,12539,94396
2018-08-29,2,57609,395928
2018-07-23,3,1451,5891
2018-07-23,1,2719,23712
2018-08-25,2,1417,8217
2018-02-11,2,1648,12002
2018-09-03,2,3239,24990
2018-04-21,1,1265,11778
2018-11-25,3,1410,5441
2018-10-06,3,1207,4723
2018-11-21,3,4535,15789
2018-07-27,3,878,2950
2018-04-07,2,1764,12396
2018-07-15,2,970,4296
2018-05-05,3,556,2101
2018-05-13,2,1073,5530
2018-10-17,2,55733,342907
2018-03-23,1,15646,143157
2018-06-04,3,5194,20730
2018-02-15,1,16851,144910
2018-04-16,2,16674,96499
2018-06-21,1,4828,44955
2018-10-21,2,42865,125352
2018-11-09,2,218663,692519
2018-09-04,3,30349,111393
2018-09-25,2,63080,377603
2018-09-22,2,2211,14593
2018-02-11,1,1629,15132
2018-09-22,3,1291,5541
2018-04-30,2,16355,96417
2018-07-17,2,2576,13194
2018-05-04,3,6739,23701
2018-08-02,1,2980,28339
2018-05-26,2,949,4389
2018-08-26,3,1282,6304
2018-05-22,3,6696,23149
2018-09-15,1,2279,21951
2018-09-03,1,3529,38391
2018-09-29,1,2358,21839
2018-05-10,3,6612,22964
2018-07-28,1,855,6718
2018-10-20,2,2001,10124
2018-07-12,1,2911,25281
2018-06-10,2,1283,5824
2018-04-28,1,1162,9698
2018-07-28,3,509,2032
2018-06-30,3,301,984
2018-09-09,2,67027,308067
2018-11-06,2,227204,670887
2018-04-13,2,15400,94532
2018-08-24,3,23944,89303
2018-03-05,1,17070,153580
2018-01-10,2,21547,196220
2018-06-13,1,7958,82901
2018-10-03,1,58325,477818
2018-10-27,1,27652,100497
2018-11-29,3,21266,68212
2018-02-26,2,19259,152053
2018-03-15,2,16626,123461
2018-02-19,1,5456,48093
2018-07-26,2,2148,10865
2018-04-11,1,16177,137894
2018-06-05,1,11292,111707
2018-11-16,2,40602,241294
2018-04-24,1,15568,132356
2018-06-25,1,4376,40172
2018-08-26,2,2108,16003
2018-03-02,2,15042,115135
2018-07-03,3,1471,5529
2018-10-13,1,2467,22272
2018-04-17,2,15698,95574
2018-03-01,1,17725,156159
2018-06-14,2,6272,44207
2018-07-20,1,1711,13529
2018-07-26,3,1200,4327
2018-07-01,2,993,4522
